period,feature,mean_abs_shap,direction_sign,direction_corr
pre_2017_2020,pagerank_lag1,1.349670378652952,1.0,0.6391286553671741
pre_2017_2020,closeness,2.385042877906538,1.0,0.7119332140625401
pre_2017_2020,house_age,2.137747758812725,-1.0,-0.687730004544064
pre_2017_2020,childcare_pk,2.6291885791201643,-1.0,-0.867654106354668
pre_2017_2020,pop_density,0.9868897742100265,1.0,0.4915929938550015
pre_2017_2020,seoul_dist_km,1.4287752124189077,-1.0,-0.7630217671291871
pre_2017_2020,ln_pop,1.0592123380715448,1.0,0.5448293238564895
pre_2017_2020,fertility,0.9384257045663771,1.0,0.6508755920972193
pre_2017_2020,doctor_per1000,0.8521176564562456,-1.0,-0.5411375344760699
pre_2017_2020,aging_ratio,0.5142707660819938,1.0,0.13778078589627882
pre_2017_2020,youth_ratio,0.8136431726106463,1.0,0.3034055682787503
pre_2017_2020,fiscal_indep,0.6268801581142225,1.0,0.4919536211767089
pre_2017_2020,employ_rate,0.5805239342107837,1.0,0.20636017559616132
pre_2017_2020,biz_count,0.795063789050109,1.0,0.016534540740282662
pre_2017_2020,sewer_supply,0.5861785248580433,-1.0,-0.10266673744865797
pre_2017_2020,academy_pk,0.8629953435443887,-1.0,-0.6663630912453247
pre_2017_2020,culture_facility_count,0.6413584376682834,-1.0,-0.5646978711665384
pre_2017_2020,senior_fac_pk,0.9945697477343345,1.0,0.17258874208869163
pre_2017_2020,hospital_bed,0.8835598016474788,-1.0,-0.4676001249447654
pre_2017_2020,extinction_risk,0.7917255677033836,1.0,0.5575851551125688
post_2021_2024,pagerank_lag1,0.5283548129492778,1.0,0.4224320351893611
post_2021_2024,closeness,0.9587808287329409,1.0,0.6979514322189357
post_2021_2024,house_age,1.9656935491591505,-1.0,-0.8731978479958251
post_2021_2024,childcare_pk,1.5748786099891818,-1.0,-0.8635526607352834
post_2021_2024,pop_density,0.4527303487209545,-1.0,-0.2091757425626346
post_2021_2024,seoul_dist_km,0.7709084054437414,-1.0,-0.49640599639067123
post_2021_2024,ln_pop,0.5933911151850676,-1.0,-0.28583433876925396
post_2021_2024,fertility,2.16902844070498,1.0,0.7563162261689407
post_2021_2024,doctor_per1000,1.0155727272680508,-1.0,-0.17107318752400338
post_2021_2024,aging_ratio,0.6752468514735348,1.0,0.01758007952470398
post_2021_2024,youth_ratio,0.5074861506525069,1.0,0.11478405383366813
post_2021_2024,fiscal_indep,0.631619357827109,1.0,0.02264892387011031
post_2021_2024,employ_rate,0.770255523543722,1.0,0.2714033070348548
post_2021_2024,biz_count,0.41387412460459255,-1.0,-0.4174083702466
post_2021_2024,sewer_supply,1.0367387723907042,-1.0,-0.7442992870560234
post_2021_2024,academy_pk,0.6723836718024231,-1.0,-0.3698443504859082
post_2021_2024,culture_facility_count,0.7014601133246532,1.0,0.748348044121211
post_2021_2024,senior_fac_pk,0.7488912841338417,1.0,0.7715059395021809
post_2021_2024,hospital_bed,0.5985654127270226,-1.0,-0.14467353971600136
post_2021_2024,extinction_risk,0.5120122477196075,1.0,0.026644984758239208
