feature,mean_abs_shap
childcare_pk,2.714445545744633
house_age,2.326242141398957
closeness,2.265579405230073
sewer_supply,1.8730519744945953
pagerank_lag1,1.5773161401588272
doctor_per1000,1.2612497408475254
senior_fac_pk,1.246528571360869
pop_density,1.2120247971960514
seoul_dist_km,0.9290411634283017
employ_rate,0.8749215317163823
hospital_bed,0.8595919180102356
fertility,0.8247861455195662
ln_pop,0.8156403178152162
aging_ratio,0.813753751530944
biz_count,0.775291086739198
fiscal_indep,0.729214265692723
youth_ratio,0.6840951754480078
extinction_risk,0.6059154416435675
culture_facility_count,0.5119198395312858
academy_pk,0.5020851054916851
