feature,domain,mean_abs_shap,weight_pct,sign
house_age,Serv,3.1991553178659737,14.657240825149803,-1
childcare_pk,Serv,3.185666058051788,14.595438471089226,-1
sewer_supply,Infra,2.0541702209062938,9.411380390170882,-1
seoul_dist_km,Infra,1.9455278801150562,8.913624953324074,-1
senior_fac_pk,Serv,1.7574891366322816,8.05210718571406,1
pop_density,Demo,1.2195080521912822,5.587294592842842,-1
doctor_per1000,Infra,1.0911852261734822,4.9993711013503015,-1
fiscal_indep,Econ,1.0603364568146618,4.858034468168843,1
aging_ratio,Demo,0.7950444177653021,3.6425732232501886,1
ln_pop,Demo,0.7938633724512836,3.637162149428199,1
biz_count,Econ,0.7839807298892536,3.591883862621801,1
youth_ratio,Demo,0.7402567341955437,3.391558129406691,1
hospital_bed,Infra,0.7291201545979089,3.340534808275828,-1
employ_rate,Econ,0.5951017426240512,2.7265164365090886,1
fertility,Serv,0.5760587891879249,2.639269295685177,1
extinction_risk,Demo,0.5057629360897139,2.317202016826978,1
academy_pk,Serv,0.49734838539641574,2.278649935514035,-1
culture_facility_count,Serv,0.2968742374889091,1.360158154671987,1
