feature,shap_2017_2020,shap_2021_2024,change
childcare_pk,2.996311421482348,2.3318857768738668,-0.6644256446084813
house_age,2.534571559597165,1.8339540340799887,-0.7006175255171765
senior_fac_pk,1.8187333138938564,1.8215882120308782,0.0028548981370217774
closeness,2.3496310146357726,1.6548654055037642,-0.6947656091320085
sewer_supply,1.7675078266786435,1.539125031527807,-0.22838279515083637
doctor_per1000,1.4250525648746304,1.2126042989946202,-0.2124482658800102
pop_density,1.274780196482912,1.175627665682251,-0.09915253080066089
pagerank_lag1,1.3032779906246839,1.1270161170401451,-0.1762618735845387
aging_ratio,0.7182383043255646,0.9054037320073324,0.1871654276817678
employ_rate,0.9090731659455727,0.8902000486821929,-0.018873117263379813
seoul_dist_km,0.9694097497846844,0.8724784853701786,-0.09693126441450584
youth_ratio,0.784570928838006,0.8448396847145975,0.06026875587659142
ln_pop,0.8021297503623309,0.8304142428033471,0.028284492441016162
biz_count,0.8027655753420772,0.7410643962453165,-0.06170117909676065
hospital_bed,0.8780892177639515,0.6965098071192394,-0.18157941064471217
fiscal_indep,0.8984906978659907,0.6417603480591818,-0.25673034980680887
culture_facility_count,0.7255858730209488,0.6372072130872969,-0.0883786599336519
fertility,0.9453540551891927,0.6215667231270884,-0.3237873320621043
extinction_risk,0.8155253905913692,0.5558973631597167,-0.2596280274316525
academy_pk,0.658390684978216,0.5505258896392933,-0.10786479533892268
