region_code,RAI,rank
11680,0.46982207619240446,1
11110,0.44857172128116607,2
50110,0.43290936205464214,3
41110,0.4311530718926153,4
26110,0.4309099166971183,5
52110,0.41970581833945,6
41130,0.4179685121128055,7
31110,0.40681943202280324,8
43110,0.4034624459218058,9
41590,0.4020900475300138,10
41820,0.2734997860401018,220
51760,0.2688410533916188,221
41290,0.26384856319352784,222
51730,0.26367608219738153,223
41800,0.2569697667446647,224
47940,0.25191534158127704,225
51830,0.24919713927152265,226
41830,0.24856757978967547,227
44250,0.24392385974963815,228
28710,0.2191726181470146,229
