year,coef,se,ci_lo,ci_hi,p,n
2009,1374.5932845890666,854.410621374742,-300.0515333054277,3049.238102483561,0.10918704091865357,222
2010,92.57734558885802,831.3776007683418,-1536.922751917092,1722.077443094808,0.9114439377870639,222
2011,973.0114910185528,517.3341699340991,-40.963482052281506,1986.986464089387,0.06140752041392538,222
2012,1299.644813297,649.440177197443,26.742065990011724,2572.547560603988,0.04668567128990154,222
2013,2039.058733428841,604.7914419648898,853.667507177657,3224.449959680025,0.0008927171433326632,222
2014,1914.0005304150832,687.6160175300502,566.273136056185,3261.7279247739816,0.005877414664564746,222
2015,1300.8257014612273,682.963101808032,-37.78197808251548,2639.43338100497,0.0582149181134912,222
2016,1080.359128659361,808.2841300766465,-503.87776629086625,2664.596023609588,0.18282493289212015,222
2017,2240.1159924690437,1002.668530292399,274.8856730959417,4205.346311842146,0.02654752473008856,222
2018,1738.6847712604192,1040.4847966530215,-300.6654301795029,3778.0349727003413,0.09623356472893987,222
2019,853.384955600092,827.7556969103947,-769.0162103442816,2475.7861215444655,0.3037673765656075,222
2020,804.1946049337938,736.809277503954,-639.9515789739561,2248.3407888415436,0.2763473716881234,222
2021,859.3781090212788,703.3420340888047,-519.1722777927785,2237.928495835336,0.22316087795593947,222
2022,1001.8425964525935,666.1220047679561,-303.7565328926004,2307.4417257977875,0.13411483807628988,222
2023,1659.308607302638,719.6753310856828,248.74495837469954,3069.8722562305766,0.02212633776710615,222
2024,285.3143879750655,751.2322152251896,-1187.1007538663061,1757.7295298164372,0.7044887032587489,222
