stage,feature,shap_direction,shap_importance,n
growth,pagerank_lag1,1,0.869,588
growth,house_age,-1,1.294,588
growth,childcare_pk,-1,0.4584,588
growth,fertility,-1,0.8898,588
growth,aging_ratio,1,0.7328,588
growth,hospital_bed,1,0.3527,588
middle,pagerank_lag1,1,0.4444,528
middle,house_age,-1,1.7475,528
middle,childcare_pk,-1,3.1702,528
middle,fertility,1,0.8888,528
middle,aging_ratio,1,0.7947,528
middle,hospital_bed,-1,1.1688,528
mature,pagerank_lag1,1,0.5461,364
mature,house_age,-1,1.3573,364
mature,childcare_pk,-1,1.4798,364
mature,fertility,1,1.1116,364
mature,aging_ratio,1,0.4887,364
mature,hospital_bed,1,0.7007,364
