stage,feature,shap_direction,shap_importance,rank,n
growth,pagerank_lag1,1,0.869,4,588
growth,closeness,1,0.6876,10,588
growth,house_age,-1,1.294,1,588
growth,childcare_pk,-1,0.4584,16,588
growth,fertility,-1,0.8898,3,588
middle,pagerank_lag1,1,0.4444,18,528
middle,closeness,1,3.9347,1,528
middle,house_age,-1,1.7475,3,528
middle,childcare_pk,-1,3.1702,2,528
middle,fertility,1,0.8888,9,528
mature,pagerank_lag1,1,0.5461,13,364
mature,closeness,1,1.0045,8,364
mature,house_age,-1,1.3573,5,364
mature,childcare_pk,-1,1.4798,3,364
mature,fertility,1,1.1116,7,364
